Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_small_d0.5', k=20, lr=0.001, model='ognet-small', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 143, loss: 1.377962, train acc: 0.967223, train avg acc: 0.950781
Test 143, loss: 1.490345, test acc: 0.909643, test avg acc: 0.880709
Train 144, loss: 1.381383, train acc: 0.966918, train avg acc: 0.950969
Test 144, loss: 1.489331, test acc: 0.912075, test avg acc: 0.887209
Train 145, loss: 1.378553, train acc: 0.966612, train avg acc: 0.949486
Test 145, loss: 1.488549, test acc: 0.913695, test avg acc: 0.881750
Train 146, loss: 1.372277, train acc: 0.971397, train avg acc: 0.957332
Test 146, loss: 1.493726, test acc: 0.908428, test avg acc: 0.879628
Train 147, loss: 1.379290, train acc: 0.967020, train avg acc: 0.950157
Test 147, loss: 1.501651, test acc: 0.905997, test avg acc: 0.869174
Train 148, loss: 1.374772, train acc: 0.968445, train avg acc: 0.954602
Test 148, loss: 1.484456, test acc: 0.912075, test avg acc: 0.877669
Train 149, loss: 1.373539, train acc: 0.967936, train avg acc: 0.952822
Test 149, loss: 1.485987, test acc: 0.910454, test avg acc: 0.877919
Train 150, loss: 1.367722, train acc: 0.972007, train avg acc: 0.956631
Test 150, loss: 1.498014, test acc: 0.908833, test avg acc: 0.872413
Train 151, loss: 1.367678, train acc: 0.972720, train avg acc: 0.958848
Test 151, loss: 1.490993, test acc: 0.910049, test avg acc: 0.887000
Train 152, loss: 1.366830, train acc: 0.969259, train avg acc: 0.954941
Test 152, loss: 1.489898, test acc: 0.904781, test avg acc: 0.866297
Train 153, loss: 1.362953, train acc: 0.974247, train avg acc: 0.961593
Test 153, loss: 1.486659, test acc: 0.904376, test avg acc: 0.876343
Train 154, loss: 1.361525, train acc: 0.973738, train avg acc: 0.959558
Test 154, loss: 1.478925, test acc: 0.917342, test avg acc: 0.877866
Train 155, loss: 1.361450, train acc: 0.974043, train avg acc: 0.961987
Test 155, loss: 1.478247, test acc: 0.912885, test avg acc: 0.871581
Train 156, loss: 1.362558, train acc: 0.971906, train avg acc: 0.957606
Test 156, loss: 1.486531, test acc: 0.912075, test avg acc: 0.878244
Train 157, loss: 1.359471, train acc: 0.973229, train avg acc: 0.960922
Test 157, loss: 1.475063, test acc: 0.914506, test avg acc: 0.879541
Train 158, loss: 1.358917, train acc: 0.974450, train avg acc: 0.961868
Test 158, loss: 1.472496, test acc: 0.918558, test avg acc: 0.883959
Train 159, loss: 1.354087, train acc: 0.976792, train avg acc: 0.965325
Test 159, loss: 1.483389, test acc: 0.910859, test avg acc: 0.878459
Train 160, loss: 1.351858, train acc: 0.977911, train avg acc: 0.966355
Test 160, loss: 1.488013, test acc: 0.912480, test avg acc: 0.882366
Train 161, loss: 1.353684, train acc: 0.976181, train avg acc: 0.963946
Test 161, loss: 1.494017, test acc: 0.903971, test avg acc: 0.873169
Train 162, loss: 1.354149, train acc: 0.975061, train avg acc: 0.963481
Test 162, loss: 1.474707, test acc: 0.912885, test avg acc: 0.871041
Train 163, loss: 1.352944, train acc: 0.975265, train avg acc: 0.964736
Test 163, loss: 1.488369, test acc: 0.909643, test avg acc: 0.866628
Train 164, loss: 1.348748, train acc: 0.978217, train avg acc: 0.968063
Test 164, loss: 1.491483, test acc: 0.909238, test avg acc: 0.866680
Train 165, loss: 1.348703, train acc: 0.977708, train avg acc: 0.966696
Test 165, loss: 1.483004, test acc: 0.905186, test avg acc: 0.874250
Train 166, loss: 1.345953, train acc: 0.977911, train avg acc: 0.967534
Test 166, loss: 1.497316, test acc: 0.909238, test avg acc: 0.869506
Train 167, loss: 1.347060, train acc: 0.977402, train avg acc: 0.967342
Test 167, loss: 1.472837, test acc: 0.912075, test avg acc: 0.878337
Train 168, loss: 1.342888, train acc: 0.979743, train avg acc: 0.970031
Test 168, loss: 1.475521, test acc: 0.913290, test avg acc: 0.877163
Train 169, loss: 1.344464, train acc: 0.979947, train avg acc: 0.968948
Test 169, loss: 1.479445, test acc: 0.912480, test avg acc: 0.881506
Train 170, loss: 1.340813, train acc: 0.980863, train avg acc: 0.971784
Test 170, loss: 1.486090, test acc: 0.905997, test avg acc: 0.874837
Train 171, loss: 1.342369, train acc: 0.980660, train avg acc: 0.971667
Test 171, loss: 1.481232, test acc: 0.910049, test avg acc: 0.875541
Train 172, loss: 1.341860, train acc: 0.979540, train avg acc: 0.970412
Test 172, loss: 1.485065, test acc: 0.908428, test avg acc: 0.873390
Train 173, loss: 1.338022, train acc: 0.981779, train avg acc: 0.972937
Test 173, loss: 1.482977, test acc: 0.909238, test avg acc: 0.868593
Train 174, loss: 1.336591, train acc: 0.982390, train avg acc: 0.974359
Test 174, loss: 1.468589, test acc: 0.918963, test avg acc: 0.877831
Train 175, loss: 1.337122, train acc: 0.981169, train avg acc: 0.972739
Test 175, loss: 1.470182, test acc: 0.918152, test avg acc: 0.882163
Train 176, loss: 1.336195, train acc: 0.982390, train avg acc: 0.973274
Test 176, loss: 1.467430, test acc: 0.922609, test avg acc: 0.881035
Train 177, loss: 1.331495, train acc: 0.983815, train avg acc: 0.975832
