Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet_d0.5', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet_d0.5', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Test 137, loss: 1.645477, test acc: 0.854133, test avg acc: 0.784651
Train 138, loss: 1.740466, train acc: 0.827667, train avg acc: 0.739171
Test 138, loss: 1.623885, test acc: 0.864668, test avg acc: 0.798209
Train 139, loss: 1.743348, train acc: 0.821356, train avg acc: 0.729884
Test 139, loss: 1.635766, test acc: 0.860211, test avg acc: 0.790541
Train 140, loss: 1.743036, train acc: 0.823290, train avg acc: 0.732308
Test 140, loss: 1.648464, test acc: 0.858185, test avg acc: 0.801169
Train 141, loss: 1.737256, train acc: 0.826547, train avg acc: 0.733427
Test 141, loss: 1.614844, test acc: 0.867504, test avg acc: 0.804541
Train 142, loss: 1.735612, train acc: 0.827260, train avg acc: 0.738273
Test 142, loss: 1.671143, test acc: 0.844003, test avg acc: 0.790983
Train 143, loss: 1.738015, train acc: 0.823901, train avg acc: 0.729528
Test 143, loss: 1.632278, test acc: 0.852917, test avg acc: 0.793343
Train 144, loss: 1.739352, train acc: 0.823901, train avg acc: 0.733542
Test 144, loss: 1.668080, test acc: 0.847245, test avg acc: 0.794744
Train 145, loss: 1.730613, train acc: 0.830619, train avg acc: 0.747003
Test 145, loss: 1.648924, test acc: 0.856159, test avg acc: 0.787180
Train 146, loss: 1.732534, train acc: 0.827871, train avg acc: 0.738013
Test 146, loss: 1.636739, test acc: 0.858995, test avg acc: 0.805756
Train 147, loss: 1.723277, train acc: 0.829296, train avg acc: 0.740946
Test 147, loss: 1.649247, test acc: 0.844408, test avg acc: 0.778070
Train 148, loss: 1.730850, train acc: 0.827056, train avg acc: 0.736047
Test 148, loss: 1.654548, test acc: 0.847650, test avg acc: 0.789692
Train 149, loss: 1.728901, train acc: 0.827260, train avg acc: 0.739112
Test 149, loss: 1.629065, test acc: 0.861831, test avg acc: 0.800256
Train 150, loss: 1.726674, train acc: 0.830008, train avg acc: 0.741749
Test 150, loss: 1.633581, test acc: 0.858995, test avg acc: 0.797297
Train 151, loss: 1.717476, train acc: 0.834894, train avg acc: 0.749379
Test 151, loss: 1.622205, test acc: 0.873987, test avg acc: 0.814047
Train 152, loss: 1.719547, train acc: 0.832451, train avg acc: 0.744807
Test 152, loss: 1.606968, test acc: 0.876823, test avg acc: 0.829169
Train 153, loss: 1.719540, train acc: 0.833367, train avg acc: 0.750157
Test 153, loss: 1.630951, test acc: 0.867504, test avg acc: 0.816791
Train 154, loss: 1.722929, train acc: 0.834283, train avg acc: 0.745061
Test 154, loss: 1.591225, test acc: 0.877229, test avg acc: 0.802145
Train 155, loss: 1.713975, train acc: 0.835708, train avg acc: 0.747141
Test 155, loss: 1.623616, test acc: 0.862237, test avg acc: 0.803459
Train 156, loss: 1.719140, train acc: 0.828074, train avg acc: 0.741446
Test 156, loss: 1.606953, test acc: 0.859806, test avg acc: 0.803192
Train 157, loss: 1.707427, train acc: 0.841612, train avg acc: 0.756211
Test 157, loss: 1.612781, test acc: 0.859400, test avg acc: 0.814541
Train 158, loss: 1.716358, train acc: 0.835098, train avg acc: 0.747203
Test 158, loss: 1.604820, test acc: 0.870746, test avg acc: 0.814483
Train 159, loss: 1.709433, train acc: 0.836421, train avg acc: 0.749126
Test 159, loss: 1.613265, test acc: 0.874392, test avg acc: 0.809215
Train 160, loss: 1.710888, train acc: 0.836625, train avg acc: 0.752469
Test 160, loss: 1.592194, test acc: 0.873177, test avg acc: 0.791017
Train 161, loss: 1.704243, train acc: 0.839373, train avg acc: 0.755394
Test 161, loss: 1.620840, test acc: 0.865478, test avg acc: 0.812680
Train 162, loss: 1.703620, train acc: 0.837948, train avg acc: 0.752060
Test 162, loss: 1.602848, test acc: 0.870340, test avg acc: 0.815302
Train 163, loss: 1.707034, train acc: 0.832248, train avg acc: 0.745609
Test 163, loss: 1.616086, test acc: 0.869935, test avg acc: 0.809279
Train 164, loss: 1.695710, train acc: 0.841409, train avg acc: 0.758141
Test 164, loss: 1.589371, test acc: 0.879254, test avg acc: 0.814169
Train 165, loss: 1.701295, train acc: 0.839373, train avg acc: 0.751629
Test 165, loss: 1.632940, test acc: 0.873177, test avg acc: 0.820791
Train 166, loss: 1.695407, train acc: 0.844463, train avg acc: 0.763556
Test 166, loss: 1.631981, test acc: 0.855754, test avg acc: 0.789012
Train 167, loss: 1.699792, train acc: 0.836930, train avg acc: 0.752695
Test 167, loss: 1.604638, test acc: 0.862642, test avg acc: 0.790930
Train 168, loss: 1.691210, train acc: 0.841205, train avg acc: 0.755228
Test 168, loss: 1.604345, test acc: 0.871151, test avg acc: 0.811593
Train 169, loss: 1.699253, train acc: 0.841103, train avg acc: 0.757990
Test 169, loss: 1.595137, test acc: 0.874797, test avg acc: 0.817250
Train 170, loss: 1.689782, train acc: 0.840289, train avg acc: 0.758573
Test 170, loss: 1.589577, test acc: 0.868314, test avg acc: 0.817727
Train 171, loss: 1.684092, train acc: 0.844157, train avg acc: 0.760900
Test 171, loss: 1.573963, test acc: 0.880470, test avg acc: 0.817977
Train 172, loss: 1.683408, train acc: 0.849654, train avg acc: 0.768396
Test 172, loss: 1.610002, test acc: 0.861021, test avg acc: 0.806035
Train 173, loss: 1.685362, train acc: 0.844157, train avg acc: 0.762164
Test 173, loss: 1.629242, test acc: 0.869530, test avg acc: 0.808762
Train 174, loss: 1.682678, train acc: 0.847822, train avg acc: 0.765826
Test 174, loss: 1.582602, test acc: 0.868314, test avg acc: 0.810233
Train 175, loss: 1.681179, train acc: 0.848840, train avg acc: 0.770680
Test 175, loss: 1.590053, test acc: 0.873987, test avg acc: 0.810971
Train 176, loss: 1.677592, train acc: 0.852606, train avg acc: 0.771858
Test 176, loss: 1.617918, test acc: 0.857780, test avg acc: 0.804680
Train 177, loss: 1.667935, train acc: 0.854540, train avg acc: 0.773895
